co_id_comprobante	co_estatus	co_id_emisor	co_num_comprobante	co_codigo_tipo_documento	DescripcionEstatus	em_nemonico	em_pais
267002148372889469	61	1747	0003-002-0200709027	01	RechazadoLicencia	COFA	507
267002148372191070	61	665	0001-001-0013833438	01	RechazadoLicencia	PASL	507
267002148372656371	61	665	0001-001-0013833439	01	RechazadoLicencia	PASL	507
267002148372348673	61	665	0007-001-0018492390	01	RechazadoLicencia	PASL	507
267002148372622358	61	665	0002-001-0014241079	01	RechazadoLicencia	PASL	507
267002148373026459	61	665	0002-001-0014241080	01	RechazadoLicencia	PASL	507
267002148373402560	61	665	0002-001-0014241081	01	RechazadoLicencia	PASL	507
267002148552236115	61	665	0003-001-0015295094	01	RechazadoLicencia	PASL	507
267002148552391116	61	665	0003-001-0015295095	01	RechazadoLicencia	PASL	507
267002148553116017	61	665	0003-001-0015295096	01	RechazadoLicencia	PASL	507
267002148373912127	61	1747	0002-003-0000836485	01	RechazadoLicencia	COFA	507
267002148373227673	61	1747	0003-001-0200589356	01	RechazadoLicencia	COFA	507
267002148374023734	61	665	0006-001-0017150955	01	RechazadoLicencia	PASL	507
267002148373728461	61	665	0002-001-0014241082	01	RechazadoLicencia	PASL	507
267002148374011662	61	665	0002-001-0014241083	01	RechazadoLicencia	PASL	507
267002148553837618	61	665	0003-001-0015295097	01	RechazadoLicencia	PASL	507
267002148554243719	61	665	0003-001-0015295098	01	RechazadoLicencia	PASL	507
267002148374151628	61	1747	0002-003-0000836486	01	RechazadoLicencia	COFA	507
267002148374397229	61	1747	0002-003-0000836487	01	RechazadoLicencia	COFA	507
267002148374735130	61	1747	0002-003-0000836488	01	RechazadoLicencia	COFA	507
267002148374711341	61	665	0011-001-0024578303	01	RechazadoLicencia	PASL	507
267002148374673874	61	1747	0003-002-0200709029	01	RechazadoLicencia	COFA	507
267002148375268972	61	665	0001-001-0013833440	01	RechazadoLicencia	PASL	507
267002148375029174	61	665	0007-001-0018492391	01	RechazadoLicencia	PASL	507
267002148375741463	61	665	0002-001-0014241084	01	RechazadoLicencia	PASL	507
267002148556482826	61	665	0010-001-0022088487	01	RechazadoLicencia	PASL	507
267002148375642231	61	1747	0002-005-0000104107	01	RechazadoLicencia	COFA	507
267002148376286843	61	665	0011-001-0024578305	01	RechazadoLicencia	PASL	507
267002148375961932	61	1747	0002-005-0000104108	01	RechazadoLicencia	COFA	507
267002148375768642	61	665	0011-001-0024578304	01	RechazadoLicencia	PASL	507
267002148376537033	61	1747	0002-005-0000104109	01	RechazadoLicencia	COFA	507
267002148376761034	61	1747	0002-005-0000104110	01	RechazadoLicencia	COFA	507
267002148376156675	61	1747	0003-001-0200589357	01	RechazadoLicencia	COFA	507
267002148375803773	61	665	0001-001-0013833441	01	RechazadoLicencia	PASL	507
267002148376283374	61	665	0001-001-0013833442	01	RechazadoLicencia	PASL	507
267002148376277675	61	665	0007-001-0018492392	01	RechazadoLicencia	PASL	507
267002148376296635	61	665	0006-001-0017150956	01	RechazadoLicencia	PASL	507
267002148555653720	61	665	0003-001-0015295099	01	RechazadoLicencia	PASL	507
267002148556741921	61	665	0003-001-0015295100	01	RechazadoLicencia	PASL	507
26714855657587728	20	644	1901-002-0000083729	01	EnProcesamientoAut	JJSA	507
267002148376277675	61	665	0007-001-0018492392	01	RechazadoLicencia	PASL	507
267002148376296635	61	665	0006-001-0017150956	01	RechazadoLicencia	PASL	507
267002148555653720	61	665	0003-001-0015295099	01	RechazadoLicencia	PASL	507
267002148556741921	61	665	0003-001-0015295100	01	RechazadoLicencia	PASL	507
26714855657587728	20	644	1901-002-0000083729	01	EnProcesamientoAut	JJSA	507
267002148377538844	61	665	0011-001-0024578306	01	RechazadoLicencia	PASL	507
267002148377507338	61	1747	0002-005-0000104111	01	RechazadoLicencia	COFA	507
267002148376864035	61	1747	0002-003-0000836489	01	RechazadoLicencia	COFA	507
267002148377158136	61	1747	0002-003-0000836490	01	RechazadoLicencia	COFA	507
267002148377853875	61	665	0001-001-0013833443	01	RechazadoLicencia	PASL	507
267002148377410337	61	1747	0002-003-0000836491	01	RechazadoLicencia	COFA	507
267002148377704339	61	1747	0002-003-0000836492	01	RechazadoLicencia	COFA	507
267002148377474276	61	665	0007-001-0018492393	01	RechazadoLicencia	PASL	507
267002148377436048	61	665	0009-001-0020439934	01	RechazadoLicencia	PASL	507
267002148377919849	61	665	0009-001-0020439935	01	RechazadoLicencia	PASL	507
267002148557204522	61	665	0003-001-0015295101	01	RechazadoLicencia	PASL	507
267002148377893720	61	665	0008-001-0018672077	01	RechazadoLicencia	PASL	507
267002148558940927	61	665	0010-001-0022088488	01	RechazadoLicencia	PASL	507
267002148378542045	61	665	0011-001-0024578307	01	RechazadoLicencia	PASL	507
267002148379115146	61	665	0011-001-0024578308	01	RechazadoLicencia	PASL	507
267002148378528876	61	1747	0003-001-0200589358	01	RechazadoLicencia	COFA	507
267002148378508876	61	665	0001-001-0013833444	01	RechazadoLicencia	PASL	507
267002148378587040	61	1747	0002-005-0000104112	01	RechazadoLicencia	COFA	507
267002148379130177	61	665	0007-001-0018492394	01	RechazadoLicencia	PASL	507
267002148378895041	61	1747	0002-005-0000104113	01	RechazadoLicencia	COFA	507
267002148379254242	61	1747	0002-005-0000104114	01	RechazadoLicencia	COFA	507
267002148379435043	61	1747	0002-005-0000104115	01	RechazadoLicencia	COFA	507
267002148558214623	61	665	0003-001-0015295102	01	RechazadoLicencia	PASL	507
267002148379923047	61	665	0011-001-0024578309	01	RechazadoLicencia	PASL	507
267002148380072648	61	665	0011-001-0024578310	01	RechazadoLicencia	PASL	507
267002148380294849	61	665	0011-001-0024578311	01	RechazadoLicencia	PASL	507
267002148379840877	61	1747	0003-002-0200709030	01	RechazadoLicencia	COFA	507
267002148380058378	61	1747	0003-002-0200709031	01	RechazadoLicencia	COFA	507
261021148380206658	15	706	0001-001-0000036402	01	NoAutorizado	MRPT	507
267002148380445278	61	665	0007-001-0018492395	01	RechazadoLicencia	PASL	507
267002148379799464	61	665	0002-001-0014241085	01	RechazadoLicencia	PASL	507
267002148380307865	61	665	0002-001-0014241086	01	RechazadoLicencia	PASL	507
267002148380098336	61	665	0006-001-0017150957	01	RechazadoLicencia	PASL	507
